so_SHORTNAME	so_NAME	so_PID	so_ratioWave	so_allTWave	int	dm_int	pe_int	intensity
VCP	Transitional endoplasmic reticulum ATPase	P55072	5.13997623448688	0.0025812841	PE	NA	81251.201729211	81251.201729211
YES1	Tyrosine-protein kinase Yes	P07947	5.13814991223796	0.006082945	PE	NA	47345.0389064834	47345.0389064834
CCT6A	T-complex protein 1 subunit zeta	P40227	5.13746243114272	7.434428e-05	PE	NA	75691.71891501	75691.71891501
UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	P22695	5.10496824818559	0.00015239346	PE	NA	96252.3739561967	96252.3739561967
H2AFY	Core histone macro-H2A.1	O75367	5.07422602639968	0.002175407	PE	NA	79881.782339777	79881.782339777
EGFR	Epidermal growth factor receptor	P00533	5.06132916991309	0.0019464465	PE	NA	58485.9724486455	58485.9724486455
PAICS	Multifunctional protein ADE2	P22234	5.05288243831138	0.00088095054	PE	NA	65186.3732274228	65186.3732274228
CALD1	Caldesmon	Q05682	5.04113386556178	0.0014892333	PE	NA	95143.7323611582	95143.7323611582
TNC	Tenascin	P24821	5.03070346315035	0.00030696971	PE	NA	85195.91087094	85195.91087094
RAB5A	Ras-related protein Rab-5A	P20339	5.0227877182627	0.0049398118	DM|PE	NA	88281.3719118643	88281.3719118643
SLC12A4	Solute carrier family 12 member 4	Q9UP95	5.01893598117557	4.1175208e-05	DM	NA	78801.9028185659	78801.9028185659
PTRF	Polymerase I and transcript release factor	Q6NZI2	5.01185212124796	1.2474341e-06	PE	NA	60386.5938819239	60386.5938819239
ALCAM	CD166 antigen	Q13740	4.98974669703644	0.0001892209	PE	NA	70742.3117989443	70742.3117989443
GNS	N-acetylglucosamine-6-sulfatase	P15586	4.97141052813059	0.00012941568	PE	NA	267085.481658043	267085.481658043
LAMTOR1	Ragulator complex protein LAMTOR1	Q6IAA8	4.9599021757816	0.015198534	DM	NA	99153.8875364409	99153.8875364409
VAT1	Synaptic vesicle membrane protein VAT-1 homolog	Q99536	4.95104502692792	0.00059194316	PE	NA	59567.1355321134	59567.1355321134
CCT4	T-complex protein 1 subunit delta	P50991	4.92721444414724	0.0015240612	PE	NA	80599.2866370088	80599.2866370088
ATP5O	ATP synthase subunit O, mitochondrial	P48047	4.92669748457143	0.00034987112	PE	NA	67052.4549641819	67052.4549641819
L1CAM	Neural cell adhesion molecule L1	P32004	4.91244101839106	0.00016154235	PE	NA	63357.5088173543	63357.5088173543
FH	Fumarate hydratase, mitochondrial	P07954	4.90609136040426	0.0004167594	PE	NA	208093.362313512	208093.362313512
AHNAK2	Protein AHNAK2	Q8IVF2	4.8633106348034	0.00051375676	PE	NA	141179.511165979	141179.511165979
COLGALT1	Procollagen galactosyltransferase 1	Q8NBJ5	4.8609936478039	0.00038228283	PE	NA	75481.2737932446	75481.2737932446
LCN1	Lipocalin-1	P31025	4.86058477531713	0.025019728	DM|RE	NA	73887.0078241664	73887.0078241664
TPM3	Tropomyosin alpha-3 chain	P06753	4.8482684820023	0.030878257	DM|PE|RE	NA	80865.7292984418	80865.7292984418
TRAP1	Heat shock protein 75 kDa, mitochondrial	Q12931	4.84634441932503	0.00082923117	PE	NA	55017.0668206515	55017.0668206515
SQSTM1	Sequestosome-1	Q13501	4.77257157348314	0.031450711	PE	NA	63786.7168917406	63786.7168917406
PPIB	Peptidyl-prolyl cis-trans isomerase B	P23284	4.75261409714693	0.00056325039	PE	NA	1036041.20297949	1036041.20297949
HADHB	Trifunctional enzyme subunit beta, mitochondrial	P55084	4.74047773026613	0.00053489325	PE	NA	63811.8704199865	63811.8704199865
CNP	2,3-cyclic-nucleotide 3-phosphodiesterase	P09543	4.72836471252307	0.021066938	PE	NA	75222.1721104007	75222.1721104007
SRP54	Signal recognition particle 54 kDa protein	P61011	4.72305006765495	0.0045963838	PE	NA	934502.445410763	934502.445410763
BCAP31	B-cell receptor-associated protein 31	P51572	4.71596963037894	7.762594e-05	PE	NA	632589.856970408	632589.856970408
EIF4E	Eukaryotic translation initiation factor 4E	P06730	4.7062986011412	0.00075351313	DM	NA	80978.7200591017	80978.7200591017
CRIP2	Cysteine-rich protein 2	P52943	4.68521353621939	0.0014098488	PE	NA	104145.681320371	104145.681320371
TPM4	Tropomyosin alpha-4 chain	P67936	4.63537542875544	0.042617559	DM|RE	NA	182144.587063988	182144.587063988
XRCC5	X-ray repair cross-complementing protein 5	P13010	4.61878843964656	0.0014960152	PE	NA	81949.8296746153	81949.8296746153
GNAS	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	P63092	4.61649575883375	0.0047069802	PE	NA	51995.8680428935	51995.8680428935
DIMT1	Probable dimethyladenosine transferase	Q9UNQ2	4.60721491517475	0.016982784	PE	NA	50013.510306221	50013.510306221
FERMT2	Fermitin family homolog 2	Q96AC1	4.59203386166619	0.0017879686	PE	NA	78813.3446615938	78813.3446615938
TUBB6	Tubulin beta-6 chain	Q9BUF5	4.57575237181987	0.0060069822	PE	NA	62744.7466346081	62744.7466346081
SLC7A11	Cystine/glutamate transporter	Q9UPY5	4.56481364147537	0.0050258744	PE	NA	92820.3496538989	92820.3496538989
PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	P11177	4.55636335995472	0.001119982	PE	NA	78757.4102487334	78757.4102487334
ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	P30837	4.55352239714493	4.898995e-06	PE	NA	69113.6810641874	69113.6810641874
FKBP10	Peptidyl-prolyl cis-trans isomerase FKBP10	Q96AY3	4.52659804287376	0.0057551069	PE	NA	75346.0614522942	75346.0614522942
TPBG	Trophoblast glycoprotein	Q13641	4.50510941366813	0.0034548161	DM|PE	NA	13540764.7965237	13540764.7965237
NME2	Nucleoside diphosphate kinase B	P22392	4.49976732345177	0.017741883	PE	NA	64684.70929294	64684.70929294
EIF4G2	Eukaryotic translation initiation factor 4 gamma 2	P78344	4.49208922252445	3.0791234e-05	PE	NA	89617.6318510943	89617.6318510943
HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2	Q99714	4.49193044736282	0.0045880917	PE	NA	70179.2651711891	70179.2651711891
EHD2	EH domain-containing protein 2	Q9NZN4	4.48830455920061	0.0020297107	PE	NA	109215.405396983	109215.405396983
MTAP	S-methyl-5-thioadenosine phosphorylase	Q13126	4.4696337171708	0.0013930283	DM	NA	107552.77212494	107552.77212494
FKBP11	Peptidyl-prolyl cis-trans isomerase FKBP11	Q9NYL4	4.46126982071956	1.0692032e-05	PE	NA	1675408.52993393	1675408.52993393
GDA	Guanine deaminase	Q9Y2T3	4.45625590037112	4.1544827e-05	DM	NA	127671.157197546	127671.157197546
RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	P04844	4.45345154451639	3.6191436e-06	PE	NA	71471.6877628079	71471.6877628079
API5	Apoptosis inhibitor 5	Q9BZZ5	4.45221782904662	0.0088198259	PE	NA	99555.657699534	99555.657699534
EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	P41091	4.44929807196881	0.0019095314	PE	NA	396746.924809808	396746.924809808
TSPAN6	Tetraspanin-6	O43657	4.42049650716906	0.0049347747	DM	NA	79362.6583161372	79362.6583161372
DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	Q14204	4.39325964449668	0.0047642873	PE	NA	1344537.64506559	1344537.64506559
ANO6	Anoctamin-6	Q4KMQ2	4.37346815551876	0.01505925	PE	NA	64359.5558882427	64359.5558882427
CD97	CD97 antigen	P48960	4.33553581044053	0.0022769554	PE	NA	88447.055727245	88447.055727245
TCP1	T-complex protein 1 subunit alpha	P17987	4.31828920799207	0.012737161	PE	NA	83778.2601231985	83778.2601231985
TUBB8	Tubulin beta-8 chain	Q3ZCM7	4.26032497819829	0.016937923	PE	NA	53520.3994376678	53520.3994376678
YWHAG	14-3-3 protein gamma	P61981	4.24958951276196	0.0033304507	PE	NA	58325.2970219561	58325.2970219561
RPL14	60S ribosomal protein L14	P50914	4.21996542088516	1.3205048e-05	DM	NA	58254.218505266	58254.218505266
RAB5B	Ras-related protein Rab-5B	P61020	4.19681396164444	4.5024615e-05	DM	NA	102914.539602724	102914.539602724
RCC2	Protein RCC2	Q9P258	4.18635502769802	0.025369329	DM	NA	75333.9455234194	75333.9455234194
PDE3A	cGMP-inhibited 3,5-cyclic phosphodiesterase A	Q14432	4.16924920973648	0.00028062449	PE	NA	97030.7824630418	97030.7824630418
SLC29A1	Equilibrative nucleoside transporter 1	Q99808	4.13069313831501	0.00027407834	PE	NA	58400.9753509347	58400.9753509347
CAP1	Adenylyl cyclase-associated protein 1	Q01518	4.11072166585386	0.024328539	PE	NA	49759.1469644964	49759.1469644964
XRCC6	X-ray repair cross-complementing protein 6	P12956	4.08993255611893	0.0032642195	PE	NA	64678.5593418271	64678.5593418271
CCT7	T-complex protein 1 subunit eta	Q99832	4.07486784706055	0.0097013433	PE	NA	44262.4256277251	44262.4256277251
HADHA	Trifunctional enzyme subunit alpha, mitochondrial	P40939	4.06232929421066	0.00071895513	PE	NA	99110.7666278007	99110.7666278007
ADRA2A	Alpha-2A adrenergic receptor	P08913	4.06146429454409	0.00017633363	PE	NA	116269.26261074	116269.26261074
EMC1	ER membrane protein complex subunit 1	Q8N766	4.05919705392439	3.7890033e-05	PE	NA	67569.3533145635	67569.3533145635
SLC39A6	Zinc transporter ZIP6	Q13433	4.03715764408341	0.00015917538	PE	NA	415130.770490385	415130.770490385
TGFBI	Transforming growth factor-beta-induced protein ig-h3	Q15582	4.03209742894874	0.00045477896	PE	NA	84232.5983033428	84232.5983033428
PKM	Pyruvate kinase PKM	P14618	4.02251109958504	4.107903e-08	PE	NA	61739.5173175266	61739.5173175266
ACTN1	Alpha-actinin-1	P12814	4.0184349687524	0.00064533262	PE	NA	70787.786178526	70787.786178526
TMEM109	Transmembrane protein 109	Q9BVC6	4.0127841028619	0.0066889618	PE	NA	64253.0109899689	64253.0109899689
UBA52	Ubiquitin	P62987	3.99628249545825	0.00090202241	PE	NA	62112.3125596266	62112.3125596266
PRDX1	Peroxiredoxin-1	Q06830	3.98446329750531	1.0558917e-06	PE	NA	57693.2264686875	57693.2264686875
ECE1	Endothelin-converting enzyme 1	P42892	3.98373807769068	0.0015724263	PE	NA	50946.8125317553	50946.8125317553
NUMA1	Nuclear mitotic apparatus protein 1	Q14980	3.95385320730432	0.0017508424	PE	NA	179072.885347088	179072.885347088
ARG1	Arginase-1	P05089	3.95354132925102	0.00029559256	DM	NA	43794.67188287	43794.67188287
ALDOA	Fructose-bisphosphate aldolase A	P04075	3.94015008278001	0.0042251227	DM|PE	NA	54312.1248235706	54312.1248235706
NOMO1	Nodal modulator 1	Q15155	3.93350528079152	0.00084197021	PE	NA	87192.2476705336	87192.2476705336
PGD	6-phosphogluconate dehydrogenase, decarboxylating	P52209	3.92894763492035	0.0048422348	PE	NA	62457.3995936075	62457.3995936075
HYOU1	Hypoxia up-regulated protein 1	Q9Y4L1	3.92562115786253	0.0022272747	PE	NA	67498.8600874916	67498.8600874916
SND1	Staphylococcal nuclease domain-containing protein 1	Q7KZF4	3.92484519709598	0.0009624532	PE	NA	67981.1884149839	67981.1884149839
RRBP1	Ribosome-binding protein 1	Q9P2E9	3.88311510383626	0.00024326483	PE	NA	294176.981292522	294176.981292522
RPS29	40S ribosomal protein S29	P62273	3.88291757887229	0.0075619449	DM	NA	1014366.28810929	1014366.28810929
SRPRB	Signal recognition particle receptor subunit beta	Q9Y5M8	3.85146800023474	0.0014593115	PE	NA	63045.1862856247	63045.1862856247
CD109	CD109 antigen	Q6YHK3	3.85047205616853	0.00074851839	PE	NA	70130.9831477737	70130.9831477737
MAGT1	Magnesium transporter protein 1	Q9H0U3	3.84605363351389	0.0006934331	PE	NA	65060.5775186871	65060.5775186871
CCDC47	Coiled-coil domain-containing protein 47	Q96A33	3.84098478818183	0.00032760986	PE	NA	72396.199942049	72396.199942049
ACTB	Actin, cytoplasmic 1	P60709	3.83274379876016	0.0022227718	PE	NA	68979.4640886447	68979.4640886447
VCL	Vinculin	P18206	3.82924526457823	0.00095432968	PE	NA	60344.9161746151	60344.9161746151
RAD50	DNA repair protein RAD50	Q92878	3.80098667865936	0.024400748	PE	NA	50414.7352600213	50414.7352600213
ZYX	Zyxin	Q15942	3.77478672496458	0.0038665845	PE	NA	7568310.74162938	7568310.74162938
PIPSL	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha	Q99755	3.77182138314072	0.00018999063	PE	NA	62292.1348753407	62292.1348753407
MYH14	Myosin-14	Q7Z406	3.76957748301951	0.019113861	PE	NA	49420.2611032051	49420.2611032051
HSP90AB1	Heat shock protein HSP 90-beta	P08238	3.75940876652834	3.4408711e-07	PE	NA	66703.369094375	66703.369094375
LDHB	L-lactate dehydrogenase B chain	P07195	3.75152858562447	0.020660434	PE	NA	65437.2231893012	65437.2231893012
NUDC	Nuclear migration protein nudC	Q9Y266	3.7257978947119	0.0001990701	PE	NA	62327.6407106155	62327.6407106155
EZR	Ezrin	P15311	3.70600760017112	0.00026064689	PE	NA	69902.6180387059	69902.6180387059
EEF1G	Elongation factor 1-gamma	P26641	3.68153089443634	3.1433981e-05	PE	NA	71074.488471782	71074.488471782
PDLIM5	PDZ and LIM domain protein 5	Q96HC4	3.67309544562817	0.0006281872	PE	NA	56325.971796976	56325.971796976
MYH9	Myosin-9	P35579	3.66385699205655	0.0063050138	PE|RE	NA	51695.3380246424	51695.3380246424
GPI	Glucose-6-phosphate isomerase	P06744	3.65107913836833	0.0071325703	PE	NA	72397.2594525458	72397.2594525458
HNRNPM	Heterogeneous nuclear ribonucleoprotein M	P52272	3.63085785417176	0.038543604	DM	NA	61317.063475811	61317.063475811
NSF	Vesicle-fusing ATPase	P46459	3.61645306739136	0.014878565	PE	NA	67503.7734843786	67503.7734843786
RAC1	Ras-related C3 botulinum toxin substrate 1	P63000	3.6157943016641	0.0025697777	PE	NA	62675.9582470158	62675.9582470158
IMMT	MICOS complex subunit MIC60	Q16891	3.61384836176947	0.0026159277	PE	NA	53402.0760242003	53402.0760242003
CYB5B	Cytochrome b5 type B	O43169	3.60689854305335	0.0021568004	PE	NA	66894.670644919	66894.670644919
GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial	P43304	3.59403171661581	0.0046736002	PE	NA	58451.2741900618	58451.2741900618
PGK1	Phosphoglycerate kinase 1	P00558	3.58334929605585	0.016671527	PE	NA	60478.4374301552	60478.4374301552
CLIC1	Chloride intracellular channel protein 1	O00299	3.57938287394212	0.032648429	PE	NA	48461.8940467561	48461.8940467561
CDK1	Cyclin-dependent kinase 1	P06493	3.57381211315729	0.011707082	PE	NA	66457.0514883208	66457.0514883208
ATL3	Atlastin-3	Q6DD88	3.55628115709278	0.0087556876	PE	NA	63892.6634780887	63892.6634780887
CDC42SE2	CDC42 small effector protein 2	Q9NRR3	3.55055715685978	0.028649358	PE	NA	66087.1350875868	66087.1350875868
PRKCA	Protein kinase C alpha type	P17252	3.54128681321255	0.030879907	PE	NA	64623.6934508765	64623.6934508765
ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	P11310	3.53576006958776	0.0070898328	PE	NA	56413.4079452703	56413.4079452703
TRIP13	Pachytene checkpoint protein 2 homolog	Q15645	3.53348638109688	0.013037046	DM|PE	NA	77704.2278387487	77704.2278387487
PRMT1	Protein arginine N-methyltransferase 1	Q99873	3.52530753008359	0.015182214	DM	NA	58253.7850794921	58253.7850794921
DDX39B	Spliceosome RNA helicase DDX39B	Q13838	3.52406713228068	0.035178185	PE|RE	NA	61185.0047959053	61185.0047959053
MTDH	Protein LYRIC	Q86UE4	3.52235828850524	0.0052671963	PE	NA	69414.4579139179	69414.4579139179
LMNA	Prelamin-A/C	P02545	3.52078351265854	0.0026493976	PE	NA	642672.591843782	642672.591843782
PPFIBP1	Liprin-beta-1	Q86W92	3.50685041477182	0.0029281597	PE	NA	59369.537985058	59369.537985058
LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial	P42704	3.49914240105653	0.00075039797	PE	NA	72235.0878880752	72235.0878880752
TM9SF2	Transmembrane 9 superfamily member 2	Q99805	3.4899844272774	0.00026148398	DM	NA	51695.4286719172	51695.4286719172
PFN1	Profilin-1	P07737	3.48492724166	0.016604204	PE	NA	200887.569288422	200887.569288422
EBP	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase	Q15125	3.4797032499526	0.017847942	PE	NA	62714.8655205862	62714.8655205862
MYO1B	Unconventional myosin-Ib	O43795	3.47930669480124	0.0031797369	PE	NA	147698.087849068	147698.087849068
PRDX6	Peroxiredoxin-6	P30041	3.45086801265996	0.0044980845	PE	NA	57391.1183116875	57391.1183116875
ESYT2	Extended synaptotagmin-2	A0FGR8	3.44835234141379	0.00063803163	PE	NA	58928.3926462444	58928.3926462444
TMPO	Lamina-associated polypeptide 2, isoform alpha	P42166	3.42788573674703	0.012399187	PE	NA	99061.8719791245	99061.8719791245
DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	P36957	3.42001847487802	0.0051603122	PE	NA	50254.7562712553	50254.7562712553
SLC39A10	Zinc transporter ZIP10	Q9ULF5	3.39571518093956	0.016234132	PE	NA	52427.305625241	52427.305625241
ARF4	ADP-ribosylation factor 4	P18085	3.38278517529274	0.039632257	PE	NA	57139.5591187324	57139.5591187324
P4HA1	Prolyl 4-hydroxylase subunit alpha-1	P13674	3.3784054396603	0.001246601	PE	NA	33500.8513037845	33500.8513037845
B2M	Beta-2-microglobulin	P61769	3.37761691033943	0.01181541	PE	NA	41051.3273079721	41051.3273079721
SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	O14745	3.37737406288876	0.0018117704	PE	NA	46749.3603600458	46749.3603600458
PHGDH	D-3-phosphoglycerate dehydrogenase	O43175	3.36894178393099	0.00021280196	PE	NA	55993.4952588026	55993.4952588026
RPL23	60S ribosomal protein L23	P62829	3.36757880114069	0.010694396	PE	NA	500583.108752184	500583.108752184
VAPA	Vesicle-associated membrane protein-associated protein A	Q9P0L0	3.36124035051981	0.0058742184	PE	NA	57097.8573946138	57097.8573946138
YWHAQ	14-3-3 protein theta	P27348	3.35442726559421	0.0055250274	PE	NA	8756657.65499111	8756657.65499111
GLIPR2	Golgi-associated plant pathogenesis-related protein 1	Q9H4G4	3.35399878606054	0.00034254306	PE	NA	82815.000423117	82815.000423117
EMD	Emerin	P50402	3.35134463962933	0.007799746	PE	NA	47841.3714968804	47841.3714968804
LAMP2	Lysosome-associated membrane glycoprotein 2	P13473	3.34902992906122	0.0029572092	DM	NA	5602157.34800131	5602157.34800131
RPL21	60S ribosomal protein L21	P46778	3.3481093645614	0.0052973973	DM	NA	48869.6878517889	48869.6878517889
VASN	Vasorin	Q6EMK4	3.33852854313294	0.0016991174	PE	NA	52840.5694865167	52840.5694865167
PTPRF	Receptor-type tyrosine-protein phosphatase F	P10586	3.33410315048266	0.0081554065	PE	NA	61240.3440913425	61240.3440913425
SNTB2	Beta-2-syntrophin	Q13425	3.3318706304793	0.001820656	PE	NA	64176.8544904541	64176.8544904541
TUBB	Tubulin beta chain	P07437	3.33094977988176	4.0958899e-12	PE	NA	47961.1864258647	47961.1864258647
ARHGAP1	Rho GTPase-activating protein 1	Q07960	3.32689505569717	0.0049404507	PE	NA	48420.9067448433	48420.9067448433
CKB	Creatine kinase B-type	P12277	3.32137342483173	0.007427596	PE	NA	2530311.41149798	2530311.41149798
ENG	Endoglin	P17813	3.31338630733897	0.017971512	PE	NA	52257.5423211527	52257.5423211527
CPT1A	Carnitine O-palmitoyltransferase 1, liver isoform	P50416	3.31297308245414	0.00017355915	PE	NA	578932.397889835	578932.397889835
NAMPT	Nicotinamide phosphoribosyltransferase	P43490	3.30982748960813	0.0170123	PE	NA	48220.845819105	48220.845819105
PLIN3	Perilipin-3	O60664	3.28592375552112	0.0069320141	DM|PE	NA	130708.699309171	130708.699309171
LRRC8A	Volume-regulated anion channel subunit LRRC8A	Q8IWT6	3.27359688664967	0.0077473982	PE	NA	235501.906233721	235501.906233721
DAD1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	P61803	3.27032548543953	0.0017577522	PE	NA	63051.4900229839	63051.4900229839
SSR4	Translocon-associated protein subunit delta	P51571	3.26861516919342	0.0029519268	PE	NA	81389.8897550211	81389.8897550211
CD55	Complement decay-accelerating factor	P08174	3.26840953739721	0.016011955	PE	NA	80874.8800100832	80874.8800100832
FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4	Q02790	3.24631152422741	0.00054370932	PE	NA	56947.5828167313	56947.5828167313
GCN1L1	Translational activator GCN1	Q92616	3.24616488938483	0.0041147261	PE	NA	61558.9005712603	61558.9005712603
SCRIB	Protein scribble homolog	Q14160	3.2427511926578	0.0008120588	PE	NA	476606.358856934	476606.358856934
RPS13	40S ribosomal protein S13	P62277	3.24179959873954	0.026949609	DM	NA	44647.8775483175	44647.8775483175
CDH13	Cadherin-13	P55290	3.23539664192495	0.0006976251	PE	NA	52281.9943406056	52281.9943406056
AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	O00116	3.21391780552078	0.004343465	PE	NA	51360.9744766781	51360.9744766781
PTPRJ	Receptor-type tyrosine-protein phosphatase eta	Q12913	3.21168845935795	0.016149685	PE	NA	107512.909926165	107512.909926165
EPHA2	Ephrin type-A receptor 2	P29317	3.20174162526091	0.0052276039	PE	NA	46306.0020653337	46306.0020653337
MYH10	Myosin-10	P35580	3.19518513186282	0.022862269	PE	NA	144372.858371793	144372.858371793
ITGB4	Integrin beta-4	P16144	3.19401277504938	0.0033440697	PE	NA	48549.3503279789	48549.3503279789
SEC61B	Protein transport protein Sec61 subunit beta	P60468	3.19282982359113	0.012269041	PE	NA	48917.5925137887	48917.5925137887
PARK7	Protein deglycase DJ-1	Q99497	3.17340716853528	0.047978118	PE	NA	43681.2745535133	43681.2745535133
ANPEP	Aminopeptidase N	P15144	3.16973630039397	0.030522037	PE	NA	46320.5893955804	46320.5893955804
SPCS2	Signal peptidase complex subunit 2	Q15005	3.1665454725765	0.0077356081	PE	NA	43991.5968410137	43991.5968410137
ZDHHC5	Palmitoyltransferase ZDHHC5	Q9C0B5	3.15599190490413	0.0064524985	PE	NA	41085.6271590319	41085.6271590319
RPLP2	60S acidic ribosomal protein P2	P05387	3.15132725952372	0.022467759	DM	NA	173946.039254828	173946.039254828
IARS	Isoleucine--tRNA ligase, cytoplasmic	P41252	3.14187103550413	0.025413416	DM	NA	54307.4957098934	54307.4957098934
LMNB1	Lamin-B1	P20700	3.14055487427195	0.010113904	PE	NA	64357.5333813529	64357.5333813529
CLU	Clusterin	P10909	3.13861428450041	0.0013921185	PE	NA	47094.1849133025	47094.1849133025
TPI1	Triosephosphate isomerase	P60174	3.13010915959819	0.021413309	PE	NA	50770.9043944754	50770.9043944754
CASP14	Caspase-14	P31944	3.12372717785881	0.0072193136	DM	NA	59312.5712669553	59312.5712669553
PEF1	Peflin	Q9UBV8	3.12105470686037	0.046577547	DM	NA	92694.507532382	92694.507532382
PCBP2	Poly(rC)-binding protein 2	Q15366	3.11138256687537	1.7799301e-06	PE	NA	39653.2865691855	39653.2865691855
NR3C1	Glucocorticoid receptor	P04150	3.1094262078968	0.0032732468	PE	NA	67927.6071213098	67927.6071213098
SRP68	Signal recognition particle subunit SRP68	Q9UHB9	3.10746960657975	0.039769039	DM	NA	40309.5788905503	40309.5788905503
TUBB3	Tubulin beta-3 chain	Q13509	3.1032071398988	0.010948202	PE	NA	48111.3268602955	48111.3268602955
ARHGEF2	Rho guanine nucleotide exchange factor 2	Q92974	3.10314585814741	0.0082750022	PE	NA	6761160.83185771	6761160.83185771
YWHAE	14-3-3 protein epsilon	P62258	3.08702096509862	0.016866505	PE	NA	54875.6174358882	54875.6174358882
LIMA1	LIM domain and actin-binding protein 1	Q9UHB6	3.08672499229984	0.020056216	PE	NA	45745.6323876454	45745.6323876454
EPPK1	Epiplakin	P58107	3.0826735802865	0.021419225	PE	NA	45725.0607220836	45725.0607220836
NUP35	Nucleoporin NUP53	Q8NFH5	3.07292386493804	0.018424183	PE	NA	44073.8959421522	44073.8959421522
HAT1	Histone acetyltransferase type B catalytic subunit	O14929	3.06564188109809	0.0088460036	PE	NA	3931223.59606414	3931223.59606414
SAR1B	GTP-binding protein SAR1b	Q9Y6B6	3.04867860687291	0.017060669	PE	NA	130964.844312474	130964.844312474
ATAD3A	ATPase family AAA domain-containing protein 3A	Q9NVI7	3.02557740452155	0.00061497715	PE	NA	36620.7810212427	36620.7810212427
CLPTM1L	Cleft lip and palate transmembrane protein 1-like protein	Q96KA5	3.02530258092066	0.0022467729	PE	NA	43493.7306539078	43493.7306539078
ADAR	Double-stranded RNA-specific adenosine deaminase	P55265	3.02095881182239	0.0048428588	DM	NA	30282.8793395629	30282.8793395629
RCN2	Reticulocalbin-2	Q14257	3.01415460591698	0.00030812307	PE	NA	47256.0158094779	47256.0158094779
PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1	Q14558	3.0035730368968	0.024694797	PE	NA	61326.7209824552	61326.7209824552
CDK11B	Cyclin-dependent kinase 11B	P21127	2.99977704496587	5.4742322e-05	PE	NA	170865.440161644	170865.440161644
PTBP3	Polypyrimidine tract-binding protein 3	O95758	2.99409705518311	0.0032494133	PE	NA	43932.5125257342	43932.5125257342
USO1	General vesicular transport factor p115	O60763	2.9860555330612	0.001065574	PE	NA	36895.203508848	36895.203508848
CCT3	T-complex protein 1 subunit gamma	P49368	2.9835168670377	6.6413588e-05	PE	NA	41573.9942778804	41573.9942778804
LIN7C	Protein lin-7 homolog C	Q9NUP9	2.97688864955036	0.015122161	PE	NA	52853.4102634849	52853.4102634849
TUBA1B	Tubulin alpha-1B chain	P68363	2.96931837919002	1.9003566e-11	PE	NA	49689.0972876183	49689.0972876183
RPL10A	60S ribosomal protein L10a	P62906	2.96531436225156	0.015854798	DM	NA	36142.8621399624	36142.8621399624
TOP2A	DNA topoisomerase 2-alpha	P11388	2.96485200157353	0.030436393	PE	NA	41687.6108350895	41687.6108350895
CD70	CD70 antigen	P32970	2.96247079283577	0.00031740408	PE	NA	43652.4296913897	43652.4296913897
EEF1A1	Elongation factor 1-alpha 1	P68104	2.96020230543424	3.1695443e-05	PE	NA	2334637.7179053	2334637.7179053
POFUT1	GDP-fucose protein O-fucosyltransferase 1	Q9H488	2.93798651826456	0.0068362989	PE	NA	54433.4461821418	54433.4461821418
GOT2	Aspartate aminotransferase, mitochondrial	P00505	2.9172641225142	0.0012471464	PE	NA	44386.0480976026	44386.0480976026
YWHAB	14-3-3 protein beta/alpha	P31946	2.91541812075611	0.012563067	PE	NA	48175.6953366076	48175.6953366076
UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	P31930	2.91443315685437	0.008193926	PE	NA	46771.7379088387	46771.7379088387
CTNNBL1	Beta-catenin-like protein 1	Q8WYA6	2.91353415000248	0.0036731933	PE	NA	40920.6644582019	40920.6644582019
PVR	Poliovirus receptor	P15151	2.90117581446336	0.020847976	PE	NA	45815.8152320843	45815.8152320843
VIM	Vimentin	P08670	2.87977309670038	0.00016461227	PE	NA	50175.5884064279	50175.5884064279
P4HA2	Prolyl 4-hydroxylase subunit alpha-2	O15460	2.87409849697533	0.0014846605	PE	NA	39032.7069573573	39032.7069573573
PCBP3	Poly(rC)-binding protein 3	P57721	2.86281491481796	0.0025995888	PE	NA	38750.5813479096	38750.5813479096
RTN3	Reticulon-3	O95197	2.86200072530601	0.021872999	PE	NA	55288.0061895437	55288.0061895437
PGAM1	Phosphoglycerate mutase 1	P18669	2.86093166469615	0.015022121	PE	NA	41739.3535600251	41739.3535600251
